Componente,Figma,Implementación,Roles afectados en página,Estilos afectados,Hallazgo/acción
Field,553:2675,src/components/ui/field.tsx,foreground; muted/foreground; input; muted; border; primary; primary/default-border; background,,Revisar composiciones con Input/InputTime y tamaños nuevos. Hay hover de enlaces text-primary en código; el token de texto primary/default-foreground ya existe y difiere por marca.
Hover Card,1650:2013,src/components/ui/hover-card.tsx,primary; popover; border; popover/foreground; muted/foreground; foreground,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Input,1:34,src/components/ui/input.tsx,input; muted/foreground; muted; primary/default-border; primary/15%; foreground; primary,,"InputBase y TimeInputBase pasan de 10 a 20 variantes frente al snapshot previo: Normal 36 px y Large 44 px. Input/InputGroup usan h-8=32 px, sin tamaño visual Large. Placeholder Figma al 50%: no copiar esa opacidad."
Input OTP,561:4282,src/components/ui/input-otp.tsx,border; muted; primary/default-border; primary/15%; foreground,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Item,2190:1413,src/components/ui/item.tsx,foreground; card/foreground; muted/foreground; primary; border; muted; accent; popover,components/avatar/9px/semibold,Actualizar muted/accent/foreground; hover de enlaces en descripción usa text-primary. No requiere inventar una nueva paleta.
Kbd,2793:2325,src/components/ui/kbd.tsx,muted; muted/foreground; background/10%; foreground,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Label,1:38,src/components/ui/label.tsx,foreground; muted/foreground,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Menubar,2938:11449,src/components/ui/menubar.tsx,foreground; accent; accent/foreground; background; border; popover; muted/foreground,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Native Select,553:7952,src/components/ui/native-select.tsx,muted/foreground; foreground; border; primary/default-border; primary/15%; accent; accent/foreground,,Figma default 36 px y radio 8 px; primitive h-8=32 px y rounded-lg=10 px. Mantener select nativo y distinguir colores de opciones controlados por el sistema operativo.
Navigation Menu,2938:12924,src/components/ui/navigation-menu.tsx,background; foreground; accent; accent/foreground; ring; muted/foreground; popover; border,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Pagination,1763:1260,src/components/ui/pagination.tsx,border; foreground; background-hover; muted/foreground,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Popover,726:6350,src/components/ui/popover.tsx,border; foreground; popover,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Progress,2206:16412,src/components/ui/progress.tsx,popover/foreground; muted/foreground; primary; primary/20%,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Radio Group,1:41,src/components/ui/radio-group.tsx,primary; background; input; foreground; border; primary/default-border; muted/foreground,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Resizable,2882:453,src/components/ui/resizable.tsx,border; foreground; ring,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Scroll Area,1800:1860,src/components/ui/scroll-area.tsx,background; border,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Select,614:4917,src/components/ui/select.tsx,muted/foreground; foreground; border; accent/50%; accent; accent/foreground,,"Figma simple/scrollable default 36 px y radio 8 px; código default=32 px, lg=36 px, rounded-lg=10 px. Alinear el mapeo de tamaño en composición y primitive."
Separator,589:983,src/components/ui/separator.tsx,border,,Consume border; el cambio de neutral/300 repercute especialmente en María Linda. Mantener dimensiones y orientación.
Sheet,1295:386,src/components/ui/sheet.tsx,border; primary; foreground; input; muted/foreground; primary/default-border; background; popover; popover/foreground,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Sidebar,3114:1373,src/components/ui/sidebar.tsx,background; border; foreground; sidebar/foreground; muted/foreground; sidebar/border; sidebar/accent/foreground; sidebar/accent; primary; sidebar/primary; sidebar/ring,caption/sm/bold uppercase,"Figma Piel Sana sidebar/ring resuelve a Maria Linda/primary/500 (#7bc6bb). Es una referencia cruzada entre marcas que exige revisión, no copiar a ciegas."
Slider,2772:1030,src/components/ui/slider.tsx,muted; primary; background,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Spinner,2206:19380,src/components/ui/spinner.tsx,foreground,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Switch,1:41,src/components/ui/switch.tsx,primary; background; input; foreground; border; primary/default-border; muted/foreground,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Table,2064:259,src/components/ui/table.tsx,border; table/row-alternate; input; background; primary/5%; primary; foreground; muted/foreground; primary/10%; primary/default-foreground; warning/light-foreground; success; destructive; muted,body/sm/mono/regular,13 conjuntos en página. TableHeader usa token table/header/background en Figma; código usa bg-muted/40. Hay dos variantes duplicadas en 2090:17809. Separar reparación del set y migración de colores.
Tabs,1:33,src/components/ui/tabs.tsx,foreground/60%; primary; foreground; primary/default-foreground; muted,,Line/underline activo usa text-primary en código. Primary/card sigue bajo 4.5 en tres marcas; revisar el rol de texto sin sustituir el color oficial.
Toast,1:45,src/components/ui/toast.tsx,success/light; success/light-border; success/light-foreground; warning/light-foreground; background; border; foreground,,Sombra de 0 4px 12px / 10% coincide con components/sonner/shadow. Cambian colores de estados y textos; no cambiar la sombra por el solo hecho de sincronizar.
Toggle,3267:2627,src/components/ui/toggle.tsx,foreground; muted; muted/foreground; ring; primary/15%; accent; accent/foreground; input,,"Figma y código tienen radio 6 px y tamaño default 36 px. Cambian accent, muted y foreground; no hay evidencia para rehacer la geometría."
Toggle Group,3331:60517,src/components/ui/toggle-group.tsx,foreground; muted; muted/foreground; ring; primary/15%; accent; accent/foreground; input,,"Set 3331:60517 está en la página Toggle; revisar colores heredados y composición del grupo, conservar la API de selección."
Tooltip,1:30,src/components/ui/tooltip.tsx,primary; foreground; background/10%,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
